GLOBAL_UNIQUE_IDENTIFIER,INSTITUTION_CODE,COLLECTION_CODE,BASIS_OF_RECORD,PREPARATIONS,HERBARIUM,TITLE,COLLECTOR,ADDITIONAL_COLLECTOR,COLLECTOR_NUMBER,DATE_COLLECTED,LOCAL_NAME,FAMILY,GENUS,SPECIES,AUTHOR_OF_SPECIES,INFRASPECIFIC_RANK,INFRASPECIFIC_EPITHET,AUTHOR_OF_INFRASPECIFIC_RANK,COUNTRY,STATE_PROVINCE,COUNTY,LOCALITY,LOCALITY_ORIGINAL,IMAGE_URL,RELATED_INFORMATION,LAT_DEGREE,LAT_MINUTE,LAT_SECOND,LAT_FLAG,LON_DEGREE,LON_MINUTE,LON_SECOND,LON_FLAG,ELEVATION,ATTRIBUTES,REMARKS,CABINET,DISPOSITION,GEOREFERENCE_SOURCES,GEOREFERENCE_VERIFICATION_STATUS,GEOREFERENCE_REMARKS,PROJECT,IDENTIFIED_BY,DATE_IDENTIFIED,TYPE_STATUS,PROCESSED_BY,DATE_LASTMODIFIED
,PE,5366,herbarium specimen,fruiting,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0019,2013-04-11,,Asclepiadaceae,Asclepias,curassavica,L.,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF CHINA,22,25,45,N,114,17,11,E,2,Liana.,in dense forest.,CABINET_1_1,in herbarium,GPS,YES,50m,DNA barcoding of plants of Hong Kong,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
,PE,5367,herbarium specimen,fruiting,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0020,2013-04-11,,Asteraceae++,Crassocephalum,crepidioides,(Benth.) S. Moore,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF CHINA,22,25,36,N,114,17,16,E,1,"herb, 10-15cm.","Sea shore, along the sea shore, near the mangroves. Grow in open areas.",CABINET_1_14,in herbarium,GPS,YES,50m,DNA barcoding of plants of Hong Kong,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
,PE,5368,herbarium specimen,flowering,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0021,2013-04-11,,Rubiaceae,Hedyotis_,diffusa,Willd.,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF CHINA,22,25,35,N,114,17,17,E,1,"shrub, 2m tall. Flowers white.","Sea shore, along the sea shore, within the mangroves. Not common. Growth with Kandelia candel, Bruguiera gymnorrhiza, Avicennia marina.",CABINET_1_16,in herbarium,GPS,YES,50m,,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
,PE,5369,herbarium specimen,flowering,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0022,2013-04-11,,Rubiaceae,Psychotria,asiatica, L.,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF CHINA,22,25,45,N,114,17,19,E,1,"liana, yellowish when ripe.",Grow within the shrubs. Common. Growth with Embelia laetaiiii.,CABINET_1_10,in herbarium,GPS,YES,50m,,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
,PE,5370,herbarium specimen,vegetative,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0023,2013-04-11,,Rubiaceae,Diplospora,dubia,(Lindl.) Masam.,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF HONG KONG,22,25,43,N,114,17,23,E,1,"Herb, 40 to 60 cm tall, Spike with white hairs.","In steppe, open area.",CABINET_1_14,in herbarium,GPS,YES,50m,,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
,PE,5371,herbarium specimen,vegetative,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0024,2013-04-11,,Fabaceae,Tadehagi,triquetrum,(L.) Ohashi,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF HONG KONG,22,25,45,N,114,17,19,E,1,"herb, 50 - 70 cm tall. flowers purple.","On the sea shore, open, salty soil.",CABINET_1_15,in herbarium,GPS,YES,50m,,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
,PE,5372,herbarium specimen,vegetative,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0025,2013-04-11,,Thymelaeaceae,Wikstroemia,indica,(L.) C. A. May,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF HONG KONG,22,25,45,N,114,17,19,E,1,Flowers green.,"Along the road, common.",CABINET_43_10,in herbarium,GPS,YES,50m,,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
,PE,5373,herbarium specimen,vegetative,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0026,2013-04-11,,Scrophulariaceae,Lindernia,crustacea,(L.) F. Muell.,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF HONG KONG,22,25,45,N,114,17,19,E,1,"herb, 1.2m tall.","Sea shore, along the sea shore, within the mangroves. Not common. Growth with Kandelia candel, Bruguiera gymnorrhiza, Avicennia marina, Excoecaria agallocha.",CABINET_45_6,in herbarium,GPS,YES,50m,,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
,PE,5374,herbarium specimen,vegetative,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0027,2013-04-11,,Cyperaceae,Kyllinga,brevifolia,Rottb.,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF HONG KONG,22,25,45,N,114,17,19,E,1,"Vine, flowers purple.","along the sea shore, among the mangroves. Not common. Growth with Kandelia candel, Bruguiera sp..",CABINET_53_11,in herbarium,GPS,YES,50m,,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
,PE,5375,herbarium specimen,vegetative,Kadoorie Farm and Botanic Garden Herbarium (KFBG),,Jin-Long Zhang,,JL0028,2013-04-11,,Cyperaceae,Kyllinga,brevifolia,Rottb.AAAA,,,,HONG KONG,New Territories,Sai Kung District,Yung Shue O,,,FLORA OF HONG KONG,22,25,45,N,114,17,19,E,1,"Aquatic plant, flowers yellow.","In flowing fresh water, open, sunny pool. Uncommon.",CABINET_40_16,in herbarium,GPS,YES,50m,,Jin-Long Zhang,2013-04-12,,Jin-Long Zhang,2013-04-13
